"Año","Trimestre","Departamento","VIS - Policía Nacional","VIS - Ejército Nacional","VIS - Fuerza Aérea Colombiana","VIS - Armada Nacional","VIS - Otros*","No VIS - Policía Nacional","No VIS - Ejército Nacional","No VIS - Fuerza Aérea Colombiana","No VIS - Armada Nacional","No VIS - Otros*"
"2.021","1","QUINDIO","61","26","0","4","0","1","1","0","1","0"
"2.021","2","QUINDIO","19","27","0","5","0","2","2","1","1","0"
"2.021","3","QUINDIO","57","44","0","4","0","3","1","0","0","0"
"2.021","1","RISARALDA","65","14","0","2","0","2","2","1","1","0"
"2.021","2","RISARALDA","46","16","0","0","0","3","2","0","0","0"
"2.021","3","RISARALDA","55","14","0","3","0","4","1","0","0","0"
"2.021","1","SANTANDER","123","83","1","10","0","4","10","2","0","0"
"2.021","2","SANTANDER","83","72","1","14","0","4","9","1","1","0"
"2.021","3","SANTANDER","91","73","0","9","0","2","14","0","2","0"
"2.021","1","SUCRE","39","6","0","15","0","1","0","0","0","0"
"2.021","2","SUCRE","48","4","0","13","0","0","0","0","0","0"
"2.021","3","SUCRE","51","14","0","33","0","1","0","0","0","0"
"2.021","1","TOLIMA","99","104","5","7","0","3","8","1","2","0"
"2.021","2","TOLIMA","94","92","3","7","1","1","6","0","1","0"
"2.021","3","TOLIMA","114","119","1","4","0","6","9","3","2","0"
"2.021","1","VALLE DEL CAUCA","133","77","5","14","0","6","4","0","2","0"
"2.021","2","VALLE DEL CAUCA","136","68","2","9","0","6","4","1","1","0"
"2.021","3","VALLE DEL CAUCA","164","90","2","7","0","4","13","2","2","0"
"2.021","1","VICHADA","1","0","0","0","0","0","0","0","0","0"
"2.021","2","VICHADA","2","1","0","0","0","0","0","0","0","0"
"2.021","3","VICHADA","1","1","0","0","0","0","0","0","0","0"
"2.021","4","ANTIOQUIA","173","145","4","14",,"5","7","4","1",
"2.021","4","ARAUCA","6","6",,,,"1",,,,
"2.021","4","ATLÁNTICO","94","32","4","32",,"2","2","1","3",
"2.021","4","BOGOTÁ, D.C.","193","86","10","20","1","40","31","14","10","2"
"2.021","4","BOLÍVAR","46","8",,"26","1","3",,,"6",
"2.021","4","BOYACÁ","76","59",,"4",,"4","7",,,
"2.021","4","CALDAS","53","28","1","2",,"3",,,,
"2.021","4","CAQUETÁ","15","46",,,,"1",,,,
"2.021","4","CASANARE","25","32","1",,,,"2",,,
"2.021","4","CAUCA","33","46",,,,,"2",,,
"2.021","4","CESAR","34","55",,"3",,,"1",,"1",
"2.021","4","CHOCÓ","11","13",,,,,,,,
"2.021","4","CÓRDOBA","46","47",,"8",,"2","3",,,
"2.021","4","CUNDINAMARCA","86","64","8","7","1","1","8","4","2",
"2.021","4","GUAINÍA","1","1",,,,,,,,
"2.021","4","GUAVIARE","5","2",,,,,,,,
"2.021","4","HUILA","44","85","3","1",,"2","5",,,
"2.021","4","LA GUAJIRA","8","15",,,,,,,,
