"Año","Trimestre","Departamento","Nueva- VIS","Nueva- No VIS","Usada - VIS","Usada- No VIS"
"2.025","3","CASANARE","0","0","23","1"
"2.025","3","CAUCA","2","0","59","2"
"2.025","3","CESAR","4","0","50","4"
"2.025","3","CHOCÓ","0","0","8","0"
"2.025","3","CÓRDOBA","3","0","109","3"
"2.025","3","CUNDINAMARCA","6","2","145","15"
"2.025","3","GUAVIARE","0","0","5","0"
"2.025","3","HUILA","2","2","79","6"
"2.025","3","LA GUAJIRA","0","0","14","0"
"2.025","3","MAGDALENA","0","0","43","3"
"2.025","3","META","5","0","76","13"
"2.025","3","NARIÑO","1","1","54","6"
"2.025","3","NORTE DE SANTANDER","4","1","82","7"
"2.025","3","PUTUMAYO","0","0","11","0"
"2.025","3","QUINDIO","0","0","40","5"
"2.025","3","RISARALDA","1","1","46","4"
"2.025","3","SANTANDER","2","0","94","13"
"2.025","3","SUCRE","4","0","59","1"
"2.025","3","TOLIMA","18","4","139","16"
"2.025","3","VALLE DEL CAUCA","6","2","135","16"
"2.025","4","AMAZONAS","1",,"2",
"2.025","4","ANTIOQUIA","11","2","163","7"
"2.025","4","ATLÁNTICO","4","3","103","7"
"2.025","4","BOGOTÁ, D.C.","11","5","180","64"
"2.025","4","BOLÍVAR","4","4","76","8"
"2.025","4","BOYACÁ","9","4","74","3"
"2.025","4","CALDAS","4","2","31","5"
"2.025","4","CAQUETÁ","1",,"26",
"2.025","4","CASANARE",,,"34","1"
"2.025","4","CAUCA","3","1","53",
"2.025","4","CESAR","3",,"55","1"
"2.025","4","CHOCÓ",,,"10",
"2.025","4","CÓRDOBA","2",,"72","2"
"2.025","4","CUNDINAMARCA","9",,"124","11"
"2.025","4","GUAINÍA","1",,"2",
"2.025","4","GUAVIARE",,,"1",
"2.025","4","HUILA","6",,"83","5"
"2.025","4","LA GUAJIRA",,,"9",
"2.025","4","MAGDALENA","1",,"46","3"
"2.025","4","META","4","2","73","10"
"2.025","4","NARIÑO","2","1","44","1"
"2.025","4","NORTE DE SANTANDER","4","1","67","4"
"2.025","4","PUTUMAYO","1",,"14",
"2.025","4","QUINDIO","1","1","39","1"
"2.025","4","RISARALDA","1",,"45","3"
"2.025","4","SANTANDER","8","3","106","10"
"2.025","4","SUCRE",,,"46",
"2.025","4","TOLIMA","20","2","121","13"
"2.025","4","VALLE DEL CAUCA","6","1","157","9"
"2.025","4","VICHADA",,,"4",
"2.025","4","AMAZONAS","1",,"2",
"2.025","4","ANTIOQUIA","11","2","163","7"
"2.025","4","ATLÁNTICO","4","3","103","7"
"2.025","4","BOGOTÁ, D.C.","11","5","180","64"
"2.025","4","BOLÍVAR","4","4","76","8"
"2.025","4","BOYACÁ","9","4","74","3"
"2.025","4","CALDAS","4","2","31","5"
"2.025","4","CAQUETÁ","1",,"26",
"2.025","4","CASANARE",,,"34","1"
"2.025","4","CAUCA","3","1","53",
"2.025","4","CESAR","3",,"55","1"
"2.025","4","CHOCÓ",,,"10",
"2.025","4","CÓRDOBA","2",,"72","2"
"2.025","4","CUNDINAMARCA","9",,"124","11"
"2.025","4","GUAINÍA","1",,"2",
"2.025","4","GUAVIARE",,,"1",
"2.025","4","HUILA","6",,"83","5"
"2.025","4","LA GUAJIRA",,,"9",
"2.025","4","MAGDALENA","1",,"46","3"
"2.025","4","META","4","2","73","10"
"2.025","4","NARIÑO","2","1","44","1"
"2.025","4","NORTE DE SANTANDER","4","1","67","4"
"2.025","4","PUTUMAYO","1",,"14",
"2.025","4","QUINDIO","1","1","39","1"
"2.025","4","RISARALDA","1",,"45","3"
"2.025","4","SANTANDER","8","3","106","10"
"2.025","4","SUCRE",,,"46",
"2.025","4","TOLIMA","20","2","121","13"
"2.025","4","VALLE DEL CAUCA","6","1","157","9"
"2.025","4","VICHADA",,,"4",
